size,method,mean,std
40,quantum,0.6285714285714287,0.0832993127835043
40,classical,0.4714285714285714,0.12453996981544783
40,linear,0.5,0.11952286093343938
40,poly,0.5285714285714286,0.13997084244475305
40,rbf,0.5,0.11952286093343939
60,quantum,0.6699999999999999,0.05099019513592784
60,classical,0.48,0.04000000000000001
60,linear,0.5200000000000001,0.05099019513592784
60,poly,0.52,0.09273618495495704
60,rbf,0.49000000000000005,0.06633249580710798
80,quantum,0.7407407407407407,0.04684855792842041
80,classical,0.5333333333333334,0.04444444444444445
80,linear,0.45925925925925926,0.0895040442488487
80,poly,0.4296296296296296,0.08314794192830982
80,rbf,0.4962962962962963,0.04444444444444445
100,quantum,0.7000000000000001,0.028817526385684456
100,classical,0.46470588235294114,0.011764705882352944
100,linear,0.5058823529411764,0.03429971702850178
100,poly,0.5176470588235293,0.04401949866792873
100,rbf,0.5176470588235295,0.03529411764705884
